ovo, area_contorno, volume, altura, largura, cor, classificacao
1,54635, 8.51986e+006,112.725,155.11,1,1
2,57377, 8.94635e+006,117.147,155.915,1,1
4, 58812.5, 9.21874e+006,119.812,156.501,1,1
5, 54403.5, 8.11543e+006,116.116,149.156,1,1
7,55484, 8.31856e+006,118.316,149.601,1,1
9,55978, 8.46975e+006,117.743,151.321,1,1
10,60009, 9.36281e+006,121.888, 156.37,1,1
12,61700, 9.54563e+006,127.881,154.146,1,1
14, 64759.5, 1.08054e+007,123.895,166.619,1,1
16, 62075.5, 1.01649e+007,120.566,163.822,1,1
17, 60488.5, 9.66257e+006,120.647,159.669,1,1
18, 65630.5, 1.09542e+007,125.607,166.616,1,1
20,58961, 9.07197e+006,121.831,153.958,1,1
21,62266, 1.00064e+007, 123.58,160.545,1,1
22, 60480.5, 9.76564e+006,119.536,161.262,1,1
23, 63422.5, 1.02007e+007,125.556,160.815,1,1
24, 56977.5, 8.61325e+006,120.566, 150.8,1,1
25,59041, 9.03651e+006,123.017,152.914,1,1
26,63431, 1.03401e+007,124.142, 162.83,1,1
27, 62873.5, 1.02008e+007,123.211,162.339,1,1
28, 57985.5, 8.68981e+006,123.403,149.718,1,1
29, 57188.5, 8.70962e+006,119.447, 152.35,1,1
31,60494, 9.51124e+006,122.535,157.188,1,1
32,56378, 8.62639e+006, 118.37,152.309,1,1
33, 55540.5, 8.42165e+006,117.338,151.151,1,1
34,58209, 8.80905e+006,122.469,151.315,1,1
35,62770, 1.00639e+007,124.536,160.386,1,1
36,61388, 9.85814e+006, 122.28,160.196,1,1
37,60489, 9.21748e+006,126.907,152.053,1,1
38, 59375.5, 9.56611e+006,117.355,161.082,1,1
40,54148, 7.97583e+006,117.298,147.121,1,1
41,55438, 8.32404e+006,117.245,150.332,2,1
42, 58014.5, 9.19272e+006,117.454,157.841,2,1
43,59237, 9.5175e+006,117.132,160.826,2,1
44, 58795.5, 9.32937e+006,117.556, 158.94,2,1
45, 57105.5, 8.76412e+006,118.538,153.411,2,1
46,61535, 1.00241e+007,119.604,163.336,2,1
47,60563, 9.4592e+006,122.783,156.599,2,1
48,56025, 8.46662e+006,118.382,150.884,2,1
49,58430, 8.93107e+006,121.226,153.139,2,1
50, 54964.5, 8.20136e+006,117.315,149.176,2,1
51, 60651.5, 9.64122e+006,121.294,159.066,2,1
52, 57772.5, 8.87492e+006, 119.33,153.865,2,1
53, 59107.5, 9.46964e+006,117.306,160.302,2,1
54,55255, 8.42299e+006,115.273,152.511,2,1
55, 64870.5, 1.07496e+007, 124.39,165.857,2,1
56, 58531.5, 9.25939e+006,118.296,157.847,2,1
57, 63991.5, 1.05564e+007,123.331,165.064,2,1
58, 59623.5, 9.54914e+006,118.558,160.121,2,1
59,60443, 9.86769e+006,117.354,163.603,2,1
60, 63062.5, 1.03447e+007,122.005,164.286,2,1
1,59065, 9.27647e+006,119.978,156.881,1,2
2,56724, 8.44571e+006,121.271,148.892,1,2
3, 53258.5, 7.83401e+006,114.527, 147.56,1,2
4, 57237.5, 8.77966e+006,118.509,153.566,1,2
5, 55360.5, 8.19973e+006,119.168,147.997,1,2
6, 57083.5, 8.74711e+006,118.592,153.227,1,2
7, 55422.5, 8.44738e+006,115.876,152.334,1,2
9, 53716.5, 7.93933e+006,115.939,147.642,1,2
10,54348, 8.08958e+006,115.974,149.009,1,2
11, 59020.5, 9.4781e+006, 116.68,160.803,1,2
12,51900, 7.35316e+006,116.434,141.784,1,2
14,52014, 7.56653e+006,114.284,145.173,1,2
15,53809, 8.11781e+006,113.287,151.029,1,2
18,56644, 8.48866e+006, 120.57,149.703,1,2
19, 53986.5, 8.45121e+006,109.928,156.436,1,2
20, 55876.5, 8.68459e+006, 114.62,155.301,1,2
21, 56580.5, 8.50271e+006,119.983,150.193,1,2
22,56787, 8.50699e+006,120.838,149.699,1,2
23, 55056.5, 8.56796e+006,114.018,154.662,1,2
24,52799, 7.78264e+006,114.302, 147.22,1,2
25,54379, 8.05283e+006,117.318,147.817,1,2
27, 52999.5, 7.85644e+006,113.799,148.244,1,2
28, 53875.5, 8.11484e+006,113.993,150.533,1,2
29,53608, 7.9279e+006,115.591,147.757,1,2
30, 52367.5, 7.61213e+006,114.435,145.514,1,2
31, 50520.5, 7.26671e+006,111.511,144.026,1,2
