identificador; lado_a_area; lado_a_altura; lado_a_largura; lado_b_area; lado_b_altura; lado_b_largura; volume; classificacao;peso
A1;21123;94;72;17352;74;74;1981270;1;62.51
A2;20797;94;71;17084;75;72;1962360;1;61.01
A3;20293;93;69;15973;72;71;1892790;1;59.07
A4;19360;91;68;15313;70;69;1770770;1;55.8
A5;19413;89;70;16061;72;71;1720090;1;57.47
A6;20305;94;69;16578;75;71;1907450;1;59.56
A7;20320;92;71;16879;74;73;1863570;1;60.1
A8;19756;92;68;15732;71;70;1818930;1;57.1
A9;20218;90;72;16969;74;73;1816370;1;60.67
A10;19311;90;69;15759;71;71;1731700;1;56.19
A11;21346;98;69;16505;73;72;2103310;1;60.9
A12;21347;93;73;18030;76;75;1978580;1;64.61
A13;20548;90;73;17822;75;75;1852290;1;61.63
A14;19421;89;69;16064;72;71;1734960;1;56.7
A15;20042;91;70;16193;72;72;1819900;1;58.39
A16;20442;91;71;16978;74;73;1866410;1;60.29
A17;20878;96;69;16872;74;73;2008290;1;59.6
A18;20429;93;70;16607;74;72;1901720;1;59.77
A19;20500;94;70;16728;73;73;1916710;1;59.52
A20;19383;89;69;16269;72;72;1726470;1;56.82
A21;20462;91;71;17406;75;74;1863160;1;60.41
A22;20171;92;70;16748;74;72;1856340;1;57.66
A23;18808;87;69;15499;71;70;1638680;1;54.79
A24;19269;92;67;14680;68;68;1777060;1;54.5
A25;19827;89;71;16865;73;73;1762100;1;59.06
A26;19354;89;69;16509;73;72;1713080;1;56.99
A27;20966;94;71;17051;74;73;1970380;1;62.19
A28;21705;96;72;17409;75;73;2087600;1;63.63
A29;19934;91;70;16642;73;72;1806720;1;58.47
A30;18608;88;68;15667;71;70;1629220;1;54.07
A31;20573;93;70;16847;73;73;1907850;1;60.12
A32;19596;91;68;15562;71;70;1794220;1;55.81
A33;20127;92;69;15953;72;71;1853260;1;58.08
A34;18662;89;67;14865;69;69;1651600;1;54.18
A35;20252;92;71;16625;73;72;1858790;1;59.39
A36;19763;91;69;16354;73;71;1785420;1;57.85
A37;19690;92;68;15520;71;69;1800600;1;56.41
A38;20581;93;70;17271;76;73;1911310;1;60.23
A39;20095;94;68;15807;72;70;1885120;1;57.79
A40;22610;99;72;18116;76;76;2235290;1;66.86
A41;21172;94;71;16850;73;73;1985930;1;62.27
A42;19813;92;69;16250;72;72;1813680;1;57.36
A43;21297;99;69;16870;74;73;2101600;1;60.58
A44;20883;93;72;17640;75;75;1938270;1;61.54
A45;20488;94;70;16497;73;72;1913400;1;59.34
A46;20555;91;72;17400;75;74;1873340;1;60.95
A47;20962;93;72;17798;76;74;1947220;1;61.89
A48;19203;88;70;16484;73;72;1680260;1;55.47
A49;18961;89;68;15354;70;70;1697190;1;54.09
A50;20627;92;71;17361;75;74;1905250;1;60.96
A51;19854;93;68;15888;72;71;1846880;1;57.02
A52;20479;91;71;17544;75;74;1870040;1;60.57
A53;21117;94;71;17809;76;75;1983360;1;62.89
A54;19607;89;70;16893;74;73;1739770;1;57.97
A55;19289;88;70;16668;74;72;1690680;1;56.48
A56;21141;96;70;17519;76;74;2026920;1;60.35
A57;20519;91;71;17494;75;74;1870910;1;61.13
A58;21179;94;71;17475;75;74;1999690;1;61.7
A59;20389;91;71;17089;74;73;1862000;1;60.07
A60;20553;93;70;16948;74;73;1907030;1;60.76
A61;20439;92;71;16678;74;72;1885130;1;60.17
A62;21172;95;70;17567;75;75;2015520;1;62.36
A63;21481;94;73;18226;76;76;2013660;1;63.79
